,name,year,rating,votes,certificate,plot,url,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
4590,StarLancer,2000,8.7,57.0,nan,"Playing as the latest faceless nameless volunteered member of the Tiger squadron, help the losing Western Alliance push back the overwhelming forces of traitorous Eastern Coalition based near Jupiter, as well as space pirates.",https://www.imdb.com/title/tt0462555/?ref_=adv_li_tt,True,True,False,False,False,False,False,True,False
4591,Pandemonium 2,1997,7.1,19.0,nan,No Plot,https://www.imdb.com/title/tt5864018/?ref_=adv_li_tt,True,True,True,False,False,False,False,False,False
4592,The Little Mermaid,1991,6.7,33.0,nan,"Ariel's about to marry Prince Eric when suddenly, her sea friends alert her that Ursula the Sea Witch is about to take over the Sea, Ariel turns back into a Mermaid and goes after Ursula in this NES platform game.",https://www.imdb.com/title/tt5757710/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4593,Jump Super Stars,2005,7.2,26.0,nan,It's an all out battle royal. Where for the first time ever play as one of your favorite characters from Weekly Shonen Jump Magazine in this one of a kind DS game. You can choose a ... See full summary »,https://www.imdb.com/title/tt1219689/?ref_=adv_li_tt,True,False,False,False,False,True,False,True,False
4594,Ridge Racer,2011,6.2,6.0,E10+,No Plot,https://www.imdb.com/title/tt2187057/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4596,Slave Zero,1999,7.4,22.0,T,"Five hundred years in the future, man and machine are virtually one and the greatest megacity in the world is locked in brutal war. Play as the ultimate saboteur part of an elite fighting ... See full summary »",https://www.imdb.com/title/tt0417145/?ref_=adv_li_tt,True,False,False,False,False,False,False,True,False
4597,Bubsy: The Woolies Strike Back,2017,5.1,103.0,E,"Bubsy the Bobcat returns once again to fight back against his greatest foes the woolies as they stole Bubsy's golden yarnball, bubsy has to get his yarnball back and defeat the Woolies once and for all.",https://www.imdb.com/title/tt7578968/?ref_=adv_li_tt,True,True,False,False,True,False,False,False,False
4598,N.O.V.A. Near Orbit Vanguard Alliance,2009,7.6,15.0,nan,The player takes control of the actions of Kal Wardin who has to stop an alien invasion threatening the very existence of mankind's new home.,https://www.imdb.com/title/tt11848426/?ref_=adv_li_tt,True,False,False,False,False,False,False,True,False
4599,Superman,1987,6.1,46.0,nan,Aliens invade planet Earth and only Superman can save us.,https://www.imdb.com/title/tt2256636/?ref_=adv_li_tt,True,True,False,False,False,False,False,True,False
4600,Supreme Commander,2007,7.8,223.0,nan,The humans are under attack from an alien race. Take command of fast depleting army and wriggle you way through an extremely strategic campaign to restore balance to the universe.,https://www.imdb.com/title/tt0489287/?ref_=adv_li_tt,True,False,False,False,False,False,False,True,False
4602,Anachronox,2001,8.5,115.0,T,"In a cyberpunk future, humanity has several space colonies, and Anachronox is one of the worst. A down-on-his-luck P.I. lives in its slums. A strange and possibly senile little old man hires him to save the world, or that's what he thinks.",https://www.imdb.com/title/tt0309280/?ref_=adv_li_tt,True,True,False,False,False,False,False,True,False
4603,Wild 9,1998,7.8,36.0,T,"Wex Major is a teenager from Earth whose parents were kidnapped by aliens. Traveling through space, Wex comes into contact with a powerful weapon system known as The Rig. Apparently the ... See full summary »",https://www.imdb.com/title/tt0414680/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4604,Chocobo Racing,1999,7.1,47.0,E,"Chocobo and Mog go on a quest to discover the secrets of the Magicite Crystal, meeting and racing many characters along the way.",https://www.imdb.com/title/tt0210611/?ref_=adv_li_tt,True,False,False,False,True,True,False,False,False
4606,Snow Bros.: Nick & Tom,1990,7.8,67.0,nan,Nick and Tom (the snow bros) set off on an adventure to save princesses from big monsters with just the snowballs in their hands.,https://www.imdb.com/title/tt2447700/?ref_=adv_li_tt,True,False,False,False,False,True,False,False,False
4607,Star Wars: Battlefront - Outer Rim,2016,7.6,12.0,T,No Plot,https://www.imdb.com/title/tt6129432/?ref_=adv_li_tt,True,False,False,False,False,True,False,True,False
